DDb-hybrid (match),Checklist (replace-with),TM (replace),Replace?,Regex?,Notes,,,,
p.cair.goodsp,P.Cair.Goodsp.,P. Cairo Goodspeed,TRUE,FALSE,,,,,
p.cair.isid,P.Cair.Isid.,P. Cairo Isid.,TRUE,FALSE,,,,,
p.cair.masp,P.Cair.Masp.,P. Cairo Masp.,TRUE,FALSE,,,,,
p.cair.mich,P.Cair.Mich.,P. Cairo Mich.,TRUE,FALSE,,,,,
p.cair.preis,P.Cair.Preis.,P. Cairo Preis,TRUE,FALSE,,,,,
p.cair.preis.2ed,P.Cair.Preis.(2),P. Cairo Preis.(2),TRUE,FALSE,,,,,
p.cair.salem,P.Cair.Salem,P. Cairo Salem,TRUE,FALSE,,,,,
p.cair.zen.,P.Cair.Zen.,P. Cairo Zen.,TRUE,FALSE,,,,,
p.capasso,P.Capasso,P. Capasso,TRUE,FALSE,,,,,
p.charite,P.Charite,P. Charite,TRUE,FALSE,,,,,
p.chept,P.Chept.,P. Chept.,TRUE,FALSE,,,,,
p.chrest.revillout,P.Chrest.Revillout,P. Chrestomathie,TRUE,FALSE,,,,,
p.christ.musl.,P.Christ.Musl.,P. Christ. Musl.,TRUE,FALSE,,,,,
p.christodote,P.Christodote,P. Christodote,TRUE,FALSE,,,,,
p.clackson,P.Clackson,P. Clackson,TRUE,FALSE,,,,,
p.clt,P.CLT,P. CLT,TRUE,FALSE,,,,,
p.col.teeter,P.Col.Teeter,P. Col. Teeter (Diss.),TRUE,FALSE,,,,,
p.col;3,P.Col. 3,P. Col. Zen. 1,TRUE,FALSE,,,,,
p.col;4,P.Col. 4,P. Col. Zen. 2,TRUE,FALSE,,,,,
p.col,P.Col.,P. Col.,TRUE,FALSE,,,,,
p.coles,P.Coles,P. Coles,TRUE,FALSE,,,,,
p.coll.youtie,P.Coll.Youtie,P. Coll. Youtie,TRUE,FALSE,,,,,
c.jud.syr.eg,C.Jud.Syr.Eg.,P. Conflict,TRUE,FALSE,,,,,
p.corn,P.Corn.,P. Cornell,TRUE,FALSE,,,,,
p.count,P.Count,P. Count.,TRUE,FALSE,,,,,
p.customs,P.Customs,P. Customs,TRUE,FALSE,,,,,
p.daris,P.Daris,P. Daris,TRUE,FALSE,,,,,
p.dime,P.Dime,P. Dime,TRUE,FALSE,,,,,
p.diog,P.Diog.,P. Diog.,TRUE,FALSE,,,,,
p.diosk,P.Diosk.,P. Diosk.,TRUE,FALSE,,,,,
p.dryton,P.Dryton ,P. Dryton,TRUE,FALSE,,,,,
p.dubl,P.Dubl.,P. Dublin,TRUE,FALSE,,,,,
p.dura,P.Dura,P. Dura,TRUE,FALSE,,,,,
p.edfou,P.Edfou,P. Edfou,TRUE,FALSE,,,,,
p.ehevertr,P.Ehevertr.,P. Eheverträge,TRUE,FALSE,,,,,
p.eirene,P.Eirene,P. Eirene,TRUE,FALSE,,,,,
p.eleph.wagner;1,P.Eleph.Wagner,P. Eleph. DAIK,TRUE,FALSE,,,,,
p.eleph.dem,P.Eleph.Dem.,P. Eleph. Dem.,TRUE,FALSE,,,,,
p.eleph,P.Eleph.,P. Eleph. Gr.,TRUE,FALSE,,,,,
p.enteux,P.Enteux.,P. Enteux.,TRUE,FALSE,,,,,
p.erasm,P.Erasm.,P. Erasm.,TRUE,FALSE,,,,,
c.erbstreit,C.Erbstreit,P. Erbstreit (2017) ,TRUE,FALSE,,,,,
p.erl,P.Erl.,P. Erl.,TRUE,FALSE,,,,,
